%
Copyright (C) 1991-2014 Altera Corporation. All rights reserved.
Your use of Altera Corporation's design tools, logic functions 
and other software and tools, and its AMPP partner logic 
functions, and any output files from any of the foregoing 
(including device programming or simulation files), and any 
associated documentation or information are expressly subject 
to the terms and conditions of the Altera Program License 
Subscription Agreement, the Altera Quartus II License Agreement,
the Altera MegaCore Function License Agreement, or other 
applicable license agreement, including, without limitation, 
that your use is for the sole purpose of programming logic 
devices manufactured by Altera and sold by Altera or its 
authorized distributors.  Please refer to the applicable 
agreement for further details.
%

GROUP CREATE div_centr:inst9|quotient[39..0] = div_centr:inst9|quotient[39] div_centr:inst9|quotient[38] div_centr:inst9|quotient[37] div_centr:inst9|quotient[36] div_centr:inst9|quotient[35] div_centr:inst9|quotient[34] div_centr:inst9|quotient[33] div_centr:inst9|quotient[32] div_centr:inst9|quotient[31] div_centr:inst9|quotient[30] div_centr:inst9|quotient[29] div_centr:inst9|quotient[28] div_centr:inst9|quotient[27] div_centr:inst9|quotient[26] div_centr:inst9|quotient[25] div_centr:inst9|quotient[24] div_centr:inst9|quotient[23] div_centr:inst9|quotient[22] div_centr:inst9|quotient[21] div_centr:inst9|quotient[20] div_centr:inst9|quotient[19] div_centr:inst9|quotient[18] div_centr:inst9|quotient[17] div_centr:inst9|quotient[16] div_centr:inst9|quotient[15] div_centr:inst9|quotient[14] div_centr:inst9|quotient[13] div_centr:inst9|quotient[12] div_centr:inst9|quotient[11] div_centr:inst9|quotient[10] div_centr:inst9|quotient[9] div_centr:inst9|quotient[8] div_centr:inst9|quotient[7] div_centr:inst9|quotient[6] div_centr:inst9|quotient[5] div_centr:inst9|quotient[4] div_centr:inst9|quotient[3] div_centr:inst9|quotient[2] div_centr:inst9|quotient[1] div_centr:inst9|quotient[0] ;
INPUTS div_centr:inst9|clock;
OUTPUTS div_centr:inst9|quotient[39..0];
UNIT ns;
RADIX HEX;
PATTERN
 486500000000.0> 1 = XXXXXXXXXX 
 487000000000.0> 0 = XXXXXXXXXX 
 487500000000.0> 1 = XXXXXXXXXX 
 488000000000.0> 0 = XXXXXXXXXX 
 488500000000.0> 1 = XXXXXXXXXX 
 489000000000.0> 0 = XXXXXXXXXX 
 489500000000.0> 1 = XXXXXXXXXX 
 490000000000.0> 0 = XXXXXXXXXX 
 490500000000.0> 1 = XXXXXXXXXX 
 491000000000.0> 0 = XXXXXXXXXX 
 491500000000.0> 1 = XXXXXXXXXX 
 492000000000.0> 0 = XXXXXXXXXX 
 492500000000.0> 1 = XXXXXXXXXX 
 493000000000.0> 0 = XXXXXXXXXX 
 493500000000.0> 1 = XXXXXXXXXX 
 494000000000.0> 0 = XXXXXXXXXX 
 494500000000.0> 1 = XXXXXXXXXX 
 495000000000.0> 0 = XXXXXXXXXX 
 495500000000.0> 1 = XXXXXXXXXX 
 496000000000.0> 0 = XXXXXXXXXX 
 496500000000.0> 1 = XXXXXXXXXX 
 497000000000.0> 0 = XXXXXXXXXX 
 497500000000.0> 1 = XXXXXXXXXX 
 498000000000.0> 0 = XXXXXXXXXX 
 498500000000.0> 1 = XXXXXXXXXX 
 499000000000.0> 0 = XXXXXXXXXX 
 499500000000.0> 1 = XXXXXXXXXX 
 500000000000.0> 0 = XXXXXXXXXX 
 500500000000.0> 1 = XXXXXXXXXX 
 501000000000.0> 0 = XXXXXXXXXX 
 501500000000.0> 1 = XXXXXXXXXX 
 502000000000.0> 0 = XXXXXXXXXX 
 502500000000.0> 1 = XXXXXXXXXX 
 503000000000.0> 0 = XXXXXXXXXX 
 503500000000.0> 1 = XXXXXXXXXX 
 504000000000.0> 0 = XXXXXXXXXX 
 504500000000.0> 1 = XXXXXXXXXX 
 505000000000.0> 0 = XXXXXXXXXX 
 505500000000.0> 1 = XXXXXXXXXX 
 506000000000.0> 0 = XXXXXXXXXX 
 506500000000.0> 1 = XXXXXXXXXX 
 507000000000.0> 0 = XXXXXXXXXX 
 507500000000.0> 1 = XXXXXXXXXX 
 508000000000.0> 0 = XXXXXXXXXX 
 508500000000.0> 1 = XXXXXXXXXX 
 509000000000.0> 0 = XXXXXXXXXX 
 509500000000.0> 1 = XXXXXXXXXX 
 510000000000.0> 0 = XXXXXXXXXX 
 510500000000.0> 1 = XXXXXXXXXX 
 511000000000.0> 0 = XXXXXXXXXX 
 511500000000.0> 1 = XXXXXXXXXX 
 512000000000.0> 0 = XXXXXXXXXX 
 512500000000.0> 1 = XXXXXXXXXX 
 513000000000.0> 0 = XXXXXXXXXX 
 513500000000.0> 1 = XXXXXXXXXX 
 514000000000.0> 0 = XXXXXXXXXX 
 514500000000.0> 1 = XXXXXXXXXX 
 515000000000.0> 0 = XXXXXXXXXX 
 515500000000.0> 1 = XXXXXXXXXX 
 516000000000.0> 0 = XXXXXXXXXX 
 516500000000.0> 1 = XXXXXXXXXX 
 517000000000.0> 0 = XXXXXXXXXX 
 517500000000.0> 1 = XXXXXXXXXX 
 518000000000.0> 0 = XXXXXXXXXX 
 518500000000.0> 1 = XXXXXXXXXX 
 519000000000.0> 0 = XXXXXXXXXX 
 519500000000.0> 1 = XXXXXXXXXX 
 520000000000.0> 0 = XXXXXXXXXX 
 520500000000.0> 1 = XXXXXXXXXX 
 521000000000.0> 0 = XXXXXXXXXX 
 521500000000.0> 1 = XXXXXXXXXX 
 522000000000.0> 0 = XXXXXXXXXX 
 522500000000.0> 1 = XXXXXXXXXX 
 523000000000.0> 0 = XXXXXXXXXX 
 523500000000.0> 1 = XXXXXXXXXX 
 524000000000.0> 0 = XXXXXXXXXX 
 524500000000.0> 1 = XXXXXXXXXX 
 525000000000.0> 0 = XXXXXXXXXX 
 525500000000.0> 1 = XXXXXXXXXX 
 526000000000.0> 0 = XXXXXXXXXX 
 526500000000.0> 1 = XXXXXXXXXX 
 527000000000.0> 0 = XXXXXXXXXX 
 527500000000.0> 1 = XXXXXXXXXX 
 528000000000.0> 0 = XXXXXXXXXX 
 528500000000.0> 1 = XXXXXXXXXX 
 529000000000.0> 0 = XXXXXXXXXX 
 529500000000.0> 1 = XXXXXXXXXX 
 530000000000.0> 0 = XXXXXXXXXX 
 530500000000.0> 1 = XXXXXXXXXX 
 531000000000.0> 0 = XXXXXXXXXX 
 531500000000.0> 1 = XXXXXXXXXX 
 532000000000.0> 0 = XXXXXXXXXX 
 532500000000.0> 1 = XXXXXXXXXX 
 533000000000.0> 0 = XXXXXXXXXX 
 533500000000.0> 1 = XXXXXXXXXX 
 534000000000.0> 0 = XXXXXXXXXX 
 534500000000.0> 1 = XXXXXXXXXX 
 535000000000.0> 0 = XXXXXXXXXX 
 535500000000.0> 1 = XXXXXXXXXX 
 536000000000.0> 0 = XXXXXXXXXX 
 536500000000.0> 1 = XXXXXXXXXX 
 537000000000.0> 0 = XXXXXXXXXX 
 537500000000.0> 1 = XXXXXXXXXX 
 538000000000.0> 0 = XXXXXXXXXX 
 538500000000.0> 1 = XXXXXXXXXX 
 539000000000.0> 0 = XXXXXXXXXX 
 539500000000.0> 1 = XXXXXXXXXX 
 540000000000.0> 0 = XXXXXXXXXX 
 540500000000.0> 1 = XXXXXXXXXX 
 541000000000.0> 0 = XXXXXXXXXX 
 541500000000.0> 1 = XXXXXXXXXX 
 542000000000.0> 0 = XXXXXXXXXX 
 542500000000.0> 1 = XXXXXXXXXX 
 543000000000.0> 0 = XXXXXXXXXX 
 543500000000.0> 1 = XXXXXXXXXX 
 544000000000.0> 0 = XXXXXXXXXX 
 544500000000.0> 1 = XXXXXXXXXX 
 545000000000.0> 0 = XXXXXXXXXX 
 545500000000.0> 1 = XXXXXXXXXX 
 546000000000.0> 0 = XXXXXXXXXX 
 546500000000.0> 1 = XXXXXXXXXX 
 547000000000.0> 0 = XXXXXXXXXX 
 547500000000.0> 1 = XXXXXXXXXX 
 548000000000.0> 0 = XXXXXXXXXX 
 548500000000.0> 1 = XXXXXXXXXX 
 549000000000.0> 0 = XXXXXXXXXX 
 549500000000.0> 1 = XXXXXXXXXX 
 550000000000.0> 0 = XXXXXXXXXX 
 550500000000.0> 1 = XXXXXXXXXX 
 551000000000.0> 0 = XXXXXXXXXX 
 551500000000.0> 1 = XXXXXXXXXX 
 552000000000.0> 0 = XXXXXXXXXX 
 552500000000.0> 1 = XXXXXXXXXX 
 553000000000.0> 0 = XXXXXXXXXX 
 553500000000.0> 1 = XXXXXXXXXX 
 554000000000.0> 0 = XXXXXXXXXX 
 554500000000.0> 1 = XXXXXXXXXX 
 555000000000.0> 0 = XXXXXXXXXX 
 555500000000.0> 1 = XXXXXXXXXX 
 556000000000.0> 0 = XXXXXXXXXX 
 556500000000.0> 1 = XXXXXXXXXX 
 557000000000.0> 0 = XXXXXXXXXX 
 557500000000.0> 1 = XXXXXXXXXX 
 558000000000.0> 0 = XXXXXXXXXX 
 558500000000.0> 1 = XXXXXXXXXX 
 559000000000.0> 0 = XXXXXXXXXX 
 559500000000.0> 1 = XXXXXXXXXX 
 560000000000.0> 0 = XXXXXXXXXX 
 560500000000.0> 1 = XXXXXXXXXX 
 561000000000.0> 0 = XXXXXXXXXX 
 561500000000.0> 1 = XXXXXXXXXX 
 562000000000.0> 0 = XXXXXXXXXX 
 562500000000.0> 1 = XXXXXXXXXX 
 563000000000.0> 0 = XXXXXXXXXX 
 563500000000.0> 1 = XXXXXXXXXX 
 564000000000.0> 0 = XXXXXXXXXX 
 564500000000.0> 1 = XXXXXXXXXX 
 565000000000.0> 0 = XXXXXXXXXX 
 565500000000.0> 1 = XXXXXXXXXX 
 566000000000.0> 0 = XXXXXXXXXX 
 566500000000.0> 1 = XXXXXXXXXX 
 567000000000.0> 0 = XXXXXXXXXX 
 567500000000.0> 1 = XXXXXXXXXX 
 568000000000.0> 0 = XXXXXXXXXX 
 568500000000.0> 1 = XXXXXXXXXX 
 569000000000.0> 0 = XXXXXXXXXX 
 569500000000.0> 1 = XXXXXXXXXX 
 570000000000.0> 0 = XXXXXXXXXX 
 570500000000.0> 1 = XXXXXXXXXX 
 571000000000.0> 0 = XXXXXXXXXX 
 571500000000.0> 1 = XXXXXXXXXX 
 572000000000.0> 0 = XXXXXXXXXX 
 572500000000.0> 1 = XXXXXXXXXX 
 573000000000.0> 0 = XXXXXXXXXX 
 573500000000.0> 1 = XXXXXXXXXX 
 574000000000.0> 0 = XXXXXXXXXX 
 574500000000.0> 1 = XXXXXXXXXX 
 575000000000.0> 0 = XXXXXXXXXX 
 575500000000.0> 1 = XXXXXXXXXX 
 576000000000.0> 0 = XXXXXXXXXX 
 576500000000.0> 1 = XXXXXXXXXX 
 577000000000.0> 0 = XXXXXXXXXX 
 577500000000.0> 1 = XXXXXXXXXX 
 578000000000.0> 0 = XXXXXXXXXX 
 578500000000.0> 1 = XXXXXXXXXX 
 579000000000.0> 0 = XXXXXXXXXX 
 579500000000.0> 1 = XXXXXXXXXX 
 580000000000.0> 0 = XXXXXXXXXX 
 580500000000.0> 1 = XXXXXXXXXX 
 581000000000.0> 0 = XXXXXXXXXX 
 581500000000.0> 1 = XXXXXXXXXX 
 582000000000.0> 0 = XXXXXXXXXX 
 582500000000.0> 1 = XXXXXXXXXX 
 583000000000.0> 0 = XXXXXXXXXX 
 583500000000.0> 1 = XXXXXXXXXX 
 584000000000.0> 0 = XXXXXXXXXX 
 584500000000.0> 1 = XXXXXXXXXX 
 585000000000.0> 0 = XXXXXXXXXX 
 585500000000.0> 1 = XXXXXXXXXX 
 586000000000.0> 0 = XXXXXXXXXX 
 586500000000.0> 1 = XXXXXXXXXX 
 587000000000.0> 0 = XXXXXXXXXX 
 587500000000.0> 1 = XXXXXXXXXX 
 588000000000.0> 0 = XXXXXXXXXX 
 588500000000.0> 1 = XXXXXXXXXX 
 589000000000.0> 0 = XXXXXXXXXX 
 589500000000.0> 1 = XXXXXXXXXX 
 590000000000.0> 0 = XXXXXXXXXX 
 590500000000.0> 1 = XXXXXXXXXX 
 591000000000.0> 0 = XXXXXXXXXX 
 591500000000.0> 1 = XXXXXXXXXX 
 592000000000.0> 0 = XXXXXXXXXX 
 592500000000.0> 1 = XXXXXXXXXX 
 593000000000.0> 0 = XXXXXXXXXX 
 593500000000.0> 1 = XXXXXXXXXX 
 594000000000.0> 0 = XXXXXXXXXX 
 594500000000.0> 1 = XXXXXXXXXX 
 595000000000.0> 0 = XXXXXXXXXX 
 595500000000.0> 1 = XXXXXXXXXX 
 596000000000.0> 0 = XXXXXXXXXX 
 596500000000.0> 1 = XXXXXXXXXX 
 597000000000.0> 0 = XXXXXXXXXX 
 597500000000.0> 1 = XXXXXXXXXX 
 598000000000.0> 0 = XXXXXXXXXX 
 598500000000.0> 1 = XXXXXXXXXX 
 599000000000.0> 0 = XXXXXXXXXX 
 599500000000.0> 1 = XXXXXXXXXX 
 600000000000.0> 0 = XXXXXXXXXX 
 600500000000.0> 1 = XXXXXXXXXX 
 601000000000.0> 0 = XXXXXXXXXX 
 601500000000.0> 1 = XXXXXXXXXX 
 602000000000.0> 0 = XXXXXXXXXX 
 602500000000.0> 1 = XXXXXXXXXX 
 603000000000.0> 0 = XXXXXXXXXX 
 603500000000.0> 1 = XXXXXXXXXX 
 604000000000.0> 0 = XXXXXXXXXX 
 604500000000.0> 1 = XXXXXXXXXX 
 605000000000.0> 0 = XXXXXXXXXX 
 605500000000.0> 1 = XXXXXXXXXX 
 606000000000.0> 0 = XXXXXXXXXX 
 606500000000.0> 1 = XXXXXXXXXX 
 607000000000.0> 0 = XXXXXXXXXX 
 607500000000.0> 1 = XXXXXXXXXX 
 608000000000.0> 0 = XXXXXXXXXX 
 608500000000.0> 1 = XXXXXXXXXX 
 609000000000.0> 0 = XXXXXXXXXX 
 609500000000.0> 1 = XXXXXXXXXX 
 610000000000.0> 0 = XXXXXXXXXX 
 610500000000.0> 1 = XXXXXXXXXX 
 611000000000.0> 0 = XXXXXXXXXX 
 611500000000.0> 1 = XXXXXXXXXX 
 612000000000.0> 0 = XXXXXXXXXX 
 612500000000.0> 1 = XXXXXXXXXX 
 613000000000.0> 0 = XXXXXXXXXX 
 613500000000.0> 1 = XXXXXXXXXX 
 614000000000.0> 0 = XXXXXXXXXX 
 614500000000.0> 1 = XXXXXXXXXX 
 615000000000.0> 0 = XXXXXXXXXX 
 615500000000.0> 1 = XXXXXXXXXX 
 616000000000.0> 0 = XXXXXXXXXX 
 616500000000.0> 1 = XXXXXXXXXX 
 617000000000.0> 0 = XXXXXXXXXX 
 617500000000.0> 1 = XXXXXXXXXX 
 618000000000.0> 0 = XXXXXXXXXX 
 618500000000.0> 1 = XXXXXXXXXX 
 619000000000.0> 0 = XXXXXXXXXX 
 619500000000.0> 1 = XXXXXXXXXX 
 620000000000.0> 0 = XXXXXXXXXX 
 620500000000.0> 1 = XXXXXXXXXX 
 621000000000.0> 0 = XXXXXXXXXX 
 621500000000.0> 1 = XXXXXXXXXX 
 622000000000.0> 0 = XXXXXXXXXX 
 622500000000.0> 1 = XXXXXXXXXX 
 623000000000.0> 0 = XXXXXXXXXX 
 623500000000.0> 1 = XXXXXXXXXX 
 624000000000.0> 0 = XXXXXXXXXX 
 624500000000.0> 1 = XXXXXXXXXX 
 625000000000.0> 0 = XXXXXXXXXX 
 625500000000.0> 1 = XXXXXXXXXX 
 626000000000.0> 0 = XXXXXXXXXX 
 626500000000.0> 1 = XXXXXXXXXX 
 627000000000.0> 0 = XXXXXXXXXX 
 627500000000.0> 1 = XXXXXXXXXX 
 628000000000.0> 0 = XXXXXXXXXX 
 628500000000.0> 1 = XXXXXXXXXX 
 629000000000.0> 0 = XXXXXXXXXX 
 629500000000.0> 1 = XXXXXXXXXX 
 630000000000.0> 0 = XXXXXXXXXX 
 630500000000.0> 1 = XXXXXXXXXX 
 631000000000.0> 0 = XXXXXXXXXX 
 631500000000.0> 1 = XXXXXXXXXX 
 632000000000.0> 0 = XXXXXXXXXX 
 632500000000.0> 1 = XXXXXXXXXX 
 633000000000.0> 0 = XXXXXXXXXX 
 633500000000.0> 1 = XXXXXXXXXX 
 634000000000.0> 0 = XXXXXXXXXX 
 634500000000.0> 1 = XXXXXXXXXX 
 635000000000.0> 0 = XXXXXXXXXX 
 635500000000.0> 1 = XXXXXXXXXX 
 636000000000.0> 0 = XXXXXXXXXX 
 636500000000.0> 1 = XXXXXXXXXX 
 637000000000.0> 0 = XXXXXXXXXX 
 637500000000.0> 1 = XXXXXXXXXX 
 638000000000.0> 0 = XXXXXXXXXX 
 638500000000.0> 1 = XXXXXXXXXX 
 639000000000.0> 0 = XXXXXXXXXX 
 639500000000.0> 1 = XXXXXXXXXX 
 640000000000.0> 0 = XXXXXXXXXX 
 640500000000.0> 1 = XXXXXXXXXX 
 641000000000.0> 0 = XXXXXXXXXX 
 641500000000.0> 1 = XXXXXXXXXX 
 642000000000.0> 0 = XXXXXXXXXX 
 642500000000.0> 1 = XXXXXXXXXX 
 643000000000.0> 0 = XXXXXXXXXX 
 643500000000.0> 1 = XXXXXXXXXX 
 644000000000.0> 0 = XXXXXXXXXX 
 644500000000.0> 1 = XXXXXXXXXX 
 645000000000.0> 0 = XXXXXXXXXX 
 645500000000.0> 1 = XXXXXXXXXX 
 646000000000.0> 0 = XXXXXXXXXX 
 646500000000.0> 1 = XXXXXXXXXX 
 647000000000.0> 0 = XXXXXXXXXX 
 647500000000.0> 1 = XXXXXXXXXX 
 648000000000.0> 0 = XXXXXXXXXX 
 648500000000.0> 1 = XXXXXXXXXX 
 649000000000.0> 0 = XXXXXXXXXX 
 649500000000.0> 1 = XXXXXXXXXX 
 650000000000.0> 0 = XXXXXXXXXX 
 650500000000.0> 1 = XXXXXXXXXX 
 651000000000.0> 0 = XXXXXXXXXX 
 651500000000.0> 1 = XXXXXXXXXX 
 652000000000.0> 0 = XXXXXXXXXX 
 652500000000.0> 1 = XXXXXXXXXX 
 653000000000.0> 0 = XXXXXXXXXX 
 653500000000.0> 1 = XXXXXXXXXX 
 654000000000.0> 0 = XXXXXXXXXX 
 654500000000.0> 1 = XXXXXXXXXX 
 655000000000.0> 0 = XXXXXXXXXX 
 655500000000.0> 1 = XXXXXXXXXX 
 656000000000.0> 0 = XXXXXXXXXX 
 656500000000.0> 1 = XXXXXXXXXX 
 657000000000.0> 0 = XXXXXXXXXX 
 657500000000.0> 1 = XXXXXXXXXX 
 658000000000.0> 0 = XXXXXXXXXX 
 658500000000.0> 1 = XXXXXXXXXX 
 659000000000.0> 0 = XXXXXXXXXX 
 659500000000.0> 1 = XXXXXXXXXX 
 660000000000.0> 0 = XXXXXXXXXX 
 660500000000.0> 1 = XXXXXXXXXX 
 661000000000.0> 0 = XXXXXXXXXX 
 661500000000.0> 1 = XXXXXXXXXX 
 662000000000.0> 0 = XXXXXXXXXX 
 662500000000.0> 1 = XXXXXXXXXX 
 663000000000.0> 0 = XXXXXXXXXX 
 663500000000.0> 1 = XXXXXXXXXX 
 664000000000.0> 0 = XXXXXXXXXX 
 664500000000.0> 1 = XXXXXXXXXX 
 665000000000.0> 0 = XXXXXXXXXX 
 665500000000.0> 1 = XXXXXXXXXX 
 666000000000.0> 0 = XXXXXXXXXX 
 666500000000.0> 1 = XXXXXXXXXX 
 667000000000.0> 0 = XXXXXXXXXX 
 667500000000.0> 1 = XXXXXXXXXX 
 668000000000.0> 0 = XXXXXXXXXX 
 668500000000.0> 1 = XXXXXXXXXX 
 669000000000.0> 0 = XXXXXXXXXX 
 669500000000.0> 1 = XXXXXXXXXX 
 670000000000.0> 0 = XXXXXXXXXX 
 670500000000.0> 1 = XXXXXXXXXX 
 671000000000.0> 0 = XXXXXXXXXX 
 671500000000.0> 1 = XXXXXXXXXX 
 672000000000.0> 0 = XXXXXXXXXX 
 672500000000.0> 1 = XXXXXXXXXX 
 673000000000.0> 0 = XXXXXXXXXX 
 673500000000.0> 1 = XXXXXXXXXX 
 674000000000.0> 0 = XXXXXXXXXX 
 674500000000.0> 1 = XXXXXXXXXX 
 675000000000.0> 0 = XXXXXXXXXX 
 675500000000.0> 1 = XXXXXXXXXX 
 676000000000.0> 0 = XXXXXXXXXX 
 676500000000.0> 1 = XXXXXXXXXX 
 677000000000.0> 0 = XXXXXXXXXX 
 677500000000.0> 1 = XXXXXXXXXX 
 678000000000.0> 0 = XXXXXXXXXX 
 678500000000.0> 1 = XXXXXXXXXX 
 679000000000.0> 0 = XXXXXXXXXX 
 679500000000.0> 1 = XXXXXXXXXX 
 680000000000.0> 0 = XXXXXXXXXX 
 680500000000.0> 1 = XXXXXXXXXX 
 681000000000.0> 0 = XXXXXXXXXX 
 681500000000.0> 1 = XXXXXXXXXX 
 682000000000.0> 0 = XXXXXXXXXX 
 682500000000.0> 1 = XXXXXXXXXX 
 683000000000.0> 0 = XXXXXXXXXX 
 683500000000.0> 1 = XXXXXXXXXX 
 684000000000.0> 0 = XXXXXXXXXX 
 684500000000.0> 1 = XXXXXXXXXX 
 685000000000.0> 0 = XXXXXXXXXX 
 685500000000.0> 1 = XXXXXXXXXX 
 686000000000.0> 0 = XXXXXXXXXX 
 686500000000.0> 1 = XXXXXXXXXX 
 687000000000.0> 0 = XXXXXXXXXX 
 687500000000.0> 1 = XXXXXXXXXX 
 688000000000.0> 0 = XXXXXXXXXX 
 688500000000.0> 1 = XXXXXXXXXX 
 689000000000.0> 0 = XXXXXXXXXX 
 689500000000.0> 1 = XXXXXXXXXX 
 690000000000.0> 0 = XXXXXXXXXX 
 690500000000.0> 1 = XXXXXXXXXX 
 691000000000.0> 0 = XXXXXXXXXX 
 691500000000.0> 1 = XXXXXXXXXX 
 692000000000.0> 0 = XXXXXXXXXX 
 692500000000.0> 1 = XXXXXXXXXX 
 693000000000.0> 0 = XXXXXXXXXX 
 693500000000.0> 1 = XXXXXXXXXX 
 694000000000.0> 0 = XXXXXXXXXX 
 694500000000.0> 1 = XXXXXXXXXX 
 695000000000.0> 0 = XXXXXXXXXX 
 695500000000.0> 1 = XXXXXXXXXX 
 696000000000.0> 0 = XXXXXXXXXX 
 696500000000.0> 1 = XXXXXXXXXX 
 697000000000.0> 0 = XXXXXXXXXX 
 697500000000.0> 1 = XXXXXXXXXX 
 698000000000.0> 0 = XXXXXXXXXX 
 698500000000.0> 1 = XXXXXXXXXX 
 699000000000.0> 0 = XXXXXXXXXX 
 699500000000.0> 1 = XXXXXXXXXX 
 700000000000.0> 0 = XXXXXXXXXX 
 700500000000.0> 1 = XXXXXXXXXX 
 701000000000.0> 0 = XXXXXXXXXX 
 701500000000.0> 1 = XXXXXXXXXX 
 702000000000.0> 0 = XXXXXXXXXX 
 702500000000.0> 1 = XXXXXXXXXX 
 703000000000.0> 0 = XXXXXXXXXX 
 703500000000.0> 1 = XXXXXXXXXX 
 704000000000.0> 0 = XXXXXXXXXX 
 704500000000.0> 1 = XXXXXXXXXX 
 705000000000.0> 0 = XXXXXXXXXX 
 705500000000.0> 1 = XXXXXXXXXX 
 706000000000.0> 0 = XXXXXXXXXX 
 706500000000.0> 1 = XXXXXXXXXX 
 707000000000.0> 0 = XXXXXXXXXX 
 707500000000.0> 1 = XXXXXXXXXX 
 708000000000.0> 0 = XXXXXXXXXX 
 708500000000.0> 1 = XXXXXXXXXX 
 709000000000.0> 0 = XXXXXXXXXX 
 709500000000.0> 1 = XXXXXXXXXX 
 710000000000.0> 0 = XXXXXXXXXX 
 710500000000.0> 1 = XXXXXXXXXX 
 711000000000.0> 0 = XXXXXXXXXX 
 711500000000.0> 1 = XXXXXXXXXX 
 712000000000.0> 0 = XXXXXXXXXX 
 712500000000.0> 1 = XXXXXXXXXX 
 713000000000.0> 0 = XXXXXXXXXX 
 713500000000.0> 1 = XXXXXXXXXX 
 714000000000.0> 0 = XXXXXXXXXX 
 714500000000.0> 1 = XXXXXXXXXX 
 715000000000.0> 0 = XXXXXXXXXX 
 715500000000.0> 1 = XXXXXXXXXX 
 716000000000.0> 0 = XXXXXXXXXX 
 716500000000.0> 1 = XXXXXXXXXX 
 717000000000.0> 0 = XXXXXXXXXX 
 717500000000.0> 1 = XXXXXXXXXX 
 718000000000.0> 0 = XXXXXXXXXX 
 718500000000.0> 1 = XXXXXXXXXX 
 719000000000.0> 0 = XXXXXXXXXX 
 719500000000.0> 1 = XXXXXXXXXX 
 720000000000.0> 0 = XXXXXXXXXX 
 720500000000.0> 1 = XXXXXXXXXX 
 721000000000.0> 0 = XXXXXXXXXX 
 721500000000.0> 1 = XXXXXXXXXX 
 722000000000.0> 0 = XXXXXXXXXX 
 722500000000.0> 1 = XXXXXXXXXX 
 723000000000.0> 0 = XXXXXXXXXX 
 723500000000.0> 1 = XXXXXXXXXX 
 724000000000.0> 0 = XXXXXXXXXX 
 724500000000.0> 1 = XXXXXXXXXX 
 725000000000.0> 0 = XXXXXXXXXX 
 725500000000.0> 1 = XXXXXXXXXX 
 726000000000.0> 0 = XXXXXXXXXX 
 726500000000.0> 1 = XXXXXXXXXX 
 727000000000.0> 0 = XXXXXXXXXX 
 727500000000.0> 1 = XXXXXXXXXX 
 728000000000.0> 0 = XXXXXXXXXX 
 728500000000.0> 1 = XXXXXXXXXX 
 729000000000.0> 0 = XXXXXXXXXX 
 729500000000.0> 1 = XXXXXXXXXX 
 730000000000.0> 0 = XXXXXXXXXX 
 730500000000.0> 1 = XXXXXXXXXX 
 731000000000.0> 0 = XXXXXXXXXX 
 731500000000.0> 1 = XXXXXXXXXX 
 732000000000.0> 0 = XXXXXXXXXX 
 732500000000.0> 1 = XXXXXXXXXX 
 733000000000.0> 0 = XXXXXXXXXX 
 733500000000.0> 1 = XXXXXXXXXX 
 734000000000.0> 0 = XXXXXXXXXX 
 734500000000.0> 1 = XXXXXXXXXX 
 735000000000.0> 0 = XXXXXXXXXX 
 735500000000.0> 1 = XXXXXXXXXX 
 736000000000.0> 0 = XXXXXXXXXX 
 736500000000.0> 1 = XXXXXXXXXX 
 737000000000.0> 0 = XXXXXXXXXX 
 737500000000.0> 1 = XXXXXXXXXX 
 738000000000.0> 0 = XXXXXXXXXX 
 738500000000.0> 1 = XXXXXXXXXX 
 739000000000.0> 0 = XXXXXXXXXX 
 739500000000.0> 1 = XXXXXXXXXX 
 740000000000.0> 0 = XXXXXXXXXX 
 740500000000.0> 1 = XXXXXXXXXX 
 741000000000.0> 0 = XXXXXXXXXX 
 741500000000.0> 1 = XXXXXXXXXX 
 742000000000.0> 0 = XXXXXXXXXX 
 742500000000.0> 1 = XXXXXXXXXX 
 743000000000.0> 0 = XXXXXXXXXX 
 743500000000.0> 1 = XXXXXXXXXX 
 744000000000.0> 0 = XXXXXXXXXX 
 744500000000.0> 1 = XXXXXXXXXX 
 745000000000.0> 0 = XXXXXXXXXX 
 745500000000.0> 1 = XXXXXXXXXX 
 746000000000.0> 0 = XXXXXXXXXX 
 746500000000.0> 1 = XXXXXXXXXX 
 747000000000.0> 0 = XXXXXXXXXX 
 747500000000.0> 1 = XXXXXXXXXX 
 748000000000.0> 0 = XXXXXXXXXX 
 748500000000.0> 1 = XXXXXXXXXX 
 749000000000.0> 0 = XXXXXXXXXX 
 749500000000.0> 1 = XXXXXXXXXX 
 750000000000.0> 0 = XXXXXXXXXX 
 750500000000.0> 1 = XXXXXXXXXX 
 751000000000.0> 0 = XXXXXXXXXX 
 751500000000.0> 1 = XXXXXXXXXX 
 752000000000.0> 0 = XXXXXXXXXX 
 752500000000.0> 1 = XXXXXXXXXX 
 753000000000.0> 0 = XXXXXXXXXX 
 753500000000.0> 1 = XXXXXXXXXX 
 754000000000.0> 0 = XXXXXXXXXX 
 754500000000.0> 1 = XXXXXXXXXX 
 755000000000.0> 0 = XXXXXXXXXX 
 755500000000.0> 1 = XXXXXXXXXX 
 756000000000.0> 0 = XXXXXXXXXX 
 756500000000.0> 1 = XXXXXXXXXX 
 757000000000.0> 0 = XXXXXXXXXX 
 757500000000.0> 1 = XXXXXXXXXX 
